,state,month,year,n
1013,AL,1,2022,2
1014,AL,2,2016,2
1015,AL,2,2018,2
1016,AL,3,2020,2
1017,AL,3,2021,2
1018,AL,4,2016,2
1019,AL,4,2020,2
1020,AL,5,2017,2
1021,AL,6,2017,2
1022,AL,7,2016,2
1023,AL,7,2017,2
1024,AL,7,2019,2
1025,AL,8,2015,2
1026,AL,8,2019,2
1027,AL,9,2015,2
1028,AL,9,2017,2
1029,AL,9,2018,2
1030,AL,10,2020,2
1031,AL,12,2016,2
1032,AL,12,2019,2
1033,AR,1,2015,2
1034,AR,1,2019,2
1035,AR,1,2021,2
1036,AR,2,2016,2
1037,AR,2,2022,2
1038,AR,3,2017,2
1039,AR,3,2020,2
1040,AR,3,2022,2
1041,AR,4,2016,2
1042,AR,4,2017,2
1043,AR,4,2018,2
1044,AR,4,2019,2
1045,AR,5,2018,2
1046,AR,5,2022,2
1047,AR,6,2022,2
1048,AR,7,2018,2
1049,AR,7,2019,2
1050,AR,8,2017,2
1051,AR,10,2019,2
1052,AR,10,2021,2
1053,AR,11,2017,2
1054,AR,12,2017,2
1055,AZ,1,2017,2
1056,AZ,1,2018,2
1057,AZ,2,2017,2
1058,AZ,3,2021,2
1059,AZ,4,2016,2
1060,AZ,5,2020,2
1061,AZ,6,2021,2
1062,AZ,8,2021,2
1063,AZ,8,2022,2
1064,AZ,9,2015,2
1065,AZ,9,2020,2
1066,AZ,9,2021,2
1067,AZ,10,2016,2
1068,AZ,11,2015,2
1069,AZ,12,2017,2
1070,CO,1,2016,2
1071,CO,1,2022,2
1072,CO,3,2015,2
1073,CO,3,2017,2
1074,CO,3,2019,2
1075,CO,3,2021,2
1076,CO,3,2022,2
1077,CO,5,2015,2
1078,CO,5,2017,2
1079,CO,6,2015,2
1080,CO,6,2019,2
1081,CO,8,2017,2
1082,CO,9,2015,2
1083,CO,9,2017,2
1084,CO,9,2018,2
1085,CO,9,2019,2
1086,CO,10,2016,2
1087,CO,10,2018,2
1088,CO,10,2020,2
1089,CO,10,2021,2
1090,CO,11,2017,2
1091,CO,11,2021,2
1092,CO,12,2018,2
1093,CO,12,2020,2
1094,DC,4,2021,2
1095,DC,4,2022,2
1096,DC,8,2021,2
1097,DC,11,2015,2
1098,DE,4,2017,2
1099,DE,12,2017,2
1100,FL,1,2017,2
1101,FL,1,2021,2
1102,FL,2,2019,2
1103,FL,5,2021,2
1104,FL,8,2019,2
1105,FL,9,2021,2
1106,FL,11,2017,2
1107,FL,12,2017,2
1108,GA,2,2016,2
1109,GA,2,2017,2
1110,GA,2,2019,2
1111,GA,2,2021,2
1112,GA,2,2022,2
1113,GA,3,2020,2
1114,GA,4,2015,2
1115,GA,4,2016,2
1116,GA,4,2017,2
1117,GA,4,2019,2
1118,GA,4,2021,2
1119,GA,5,2016,2
1120,GA,5,2017,2
1121,GA,5,2019,2
1122,GA,6,2020,2
1123,GA,7,2017,2
1124,GA,8,2018,2
1125,GA,8,2022,2
1126,GA,9,2016,2
1127,GA,9,2022,2
1128,GA,10,2016,2
1129,GA,10,2017,2
1130,GA,10,2020,2
1131,GA,10,2021,2
1132,GA,11,2017,2
1133,GA,11,2020,2
1134,GA,12,2016,2
1135,HI,2,2016,2
1136,HI,2,2019,2
1137,HI,4,2021,2
1138,HI,6,2016,2
1139,HI,6,2018,2
1140,HI,6,2021,2
1141,HI,7,2018,2
1142,HI,8,2021,2
1143,HI,9,2018,2
1144,HI,10,2018,2
1145,HI,12,2018,2
1146,HI,12,2019,2
1147,IA,1,2015,2
1148,IA,2,2021,2
1149,IA,4,2018,2
1150,IA,6,2016,2
1151,IA,7,2018,2
1152,IA,7,2019,2
1153,IA,8,2022,2
1154,IA,10,2021,2
1155,IA,11,2017,2
1156,IA,11,2021,2
1157,ID,1,2022,2
1158,ID,3,2018,2
1159,ID,5,2018,2
1160,ID,7,2021,2
1161,ID,8,2021,2
1162,ID,11,2018,2
1163,ID,12,2020,2
1164,IL,1,2018,2
1165,IL,1,2020,2
1166,IL,1,2022,2
1167,IL,3,2018,2
1168,IL,5,2015,2
1169,IL,5,2018,2
1170,IL,5,2022,2
1171,IL,6,2016,2
1172,IL,8,2015,2
1173,IL,9,2016,2
1174,IL,9,2017,2
1175,IL,9,2020,2
1176,IL,10,2015,2
1177,IL,10,2021,2
1178,IL,11,2017,2
1179,IL,12,2015,2
1180,IN,1,2017,2
1181,IN,1,2018,2
1182,IN,1,2019,2
1183,IN,1,2020,2
1184,IN,2,2015,2
1185,IN,2,2021,2
1186,IN,3,2016,2
1187,IN,3,2018,2
1188,IN,3,2022,2
1189,IN,4,2017,2
1190,IN,4,2018,2
1191,IN,4,2020,2
1192,IN,5,2018,2
1193,IN,5,2021,2
1194,IN,7,2019,2
1195,IN,7,2022,2
1196,IN,8,2021,2
1197,IN,9,2017,2
1198,IN,9,2021,2
1199,IN,10,2016,2
1200,IN,10,2019,2
1201,IN,10,2021,2
1202,IN,12,2015,2
1203,IN,12,2017,2
1204,IN,12,2018,2
1205,IN,12,2019,2
1206,KS,1,2015,2
1207,KS,1,2019,2
1208,KS,3,2016,2
1209,KS,5,2019,2
1210,KS,5,2022,2
1211,KS,7,2015,2
1212,KS,11,2016,2
1213,KS,11,2018,2
1214,KS,12,2016,2
1215,KS,12,2020,2
1216,KY,1,2017,2
1217,KY,1,2018,2
1218,KY,1,2021,2
1219,KY,2,2018,2
1220,KY,3,2017,2
1221,KY,3,2022,2
1222,KY,4,2019,2
1223,KY,5,2015,2
1224,KY,5,2019,2
1225,KY,6,2017,2
1226,KY,6,2019,2
1227,KY,7,2022,2
1228,KY,8,2015,2
1229,KY,8,2016,2
1230,KY,8,2020,2
1231,KY,9,2015,2
1232,KY,11,2018,2
1233,KY,11,2019,2
1234,KY,11,2020,2
1235,KY,12,2015,2
1236,LA,1,2015,2
1237,LA,1,2016,2
1238,LA,1,2017,2
1239,LA,1,2019,2
1240,LA,1,2021,2
1241,LA,3,2015,2
1242,LA,3,2017,2
1243,LA,3,2018,2
1244,LA,3,2020,2
1245,LA,3,2021,2
1246,LA,4,2019,2
1247,LA,4,2020,2
1248,LA,4,2022,2
1249,LA,5,2015,2
1250,LA,5,2018,2
1251,LA,5,2020,2
1252,LA,5,2021,2
1253,LA,5,2022,2
1254,LA,6,2017,2
1255,LA,7,2017,2
1256,LA,7,2019,2
1257,LA,7,2020,2
1258,LA,7,2021,2
1259,LA,8,2017,2
1260,LA,8,2018,2
1261,LA,8,2020,2
1262,LA,8,2022,2
1263,LA,9,2018,2
1264,LA,9,2019,2
1265,LA,9,2020,2
1266,LA,10,2016,2
1267,LA,10,2019,2
1268,LA,10,2021,2
1269,LA,11,2016,2
1270,LA,11,2020,2
1271,MA,1,2022,2
1272,MA,2,2020,2
1273,MA,3,2015,2
1274,MA,3,2016,2
1275,MA,4,2016,2
1276,MA,5,2016,2
1277,MA,6,2015,2
1278,MA,6,2021,2
1279,MA,7,2015,2
1280,MA,11,2020,2
1281,MD,1,2015,2
1282,MD,1,2017,2
1283,MD,1,2018,2
1284,MD,1,2020,2
1285,MD,3,2020,2
1286,MD,4,2020,2
1287,MD,4,2022,2
1288,MD,5,2020,2
1289,MD,5,2021,2
1290,MD,7,2019,2
1291,MD,8,2015,2
1292,MD,8,2018,2
1293,MD,9,2018,2
1294,MD,9,2019,2
1295,MD,10,2015,2
1296,MD,10,2016,2
1297,ME,4,2020,2
1298,ME,5,2017,2
1299,ME,5,2018,2
1300,ME,5,2019,2
1301,ME,6,2022,2
1302,ME,10,2021,2
1303,MI,1,2016,2
1304,MI,1,2018,2
1305,MI,2,2021,2
1306,MI,3,2017,2
1307,MI,3,2018,2
1308,MI,4,2019,2
1309,MI,4,2021,2
1310,MI,5,2017,2
1311,MI,5,2021,2
1312,MI,6,2016,2
1313,MI,6,2022,2
1314,MI,7,2016,2
1315,MI,7,2021,2
1316,MI,8,2017,2
1317,MI,8,2020,2
1318,MI,8,2021,2
1319,MI,9,2016,2
1320,MI,9,2020,2
1321,MI,10,2015,2
1322,MI,10,2016,2
1323,MI,10,2019,2
1324,MI,12,2015,2
1325,MN,1,2017,2
1326,MN,1,2018,2
1327,MN,1,2019,2
1328,MN,3,2016,2
1329,MN,4,2021,2
1330,MN,5,2016,2
1331,MN,7,2017,2
1332,MN,7,2022,2
1333,MN,8,2016,2
1334,MN,8,2019,2
1335,MN,9,2015,2
1336,MN,9,2016,2
1337,MN,9,2019,2
1338,MN,10,2016,2
1339,MN,11,2021,2
1340,MN,12,2020,2
1341,MO,1,2015,2
1342,MO,1,2016,2
1343,MO,2,2018,2
1344,MO,2,2022,2
1345,MO,3,2016,2
1346,MO,3,2020,2
1347,MO,4,2015,2
1348,MO,4,2016,2
1349,MO,4,2018,2
1350,MO,4,2020,2
1351,MO,4,2021,2
1352,MO,5,2018,2
1353,MO,5,2020,2
1354,MO,6,2016,2
1355,MO,7,2015,2
1356,MO,7,2018,2
1357,MO,8,2022,2
1358,MO,9,2016,2
1359,MO,9,2021,2
1360,MO,9,2022,2
1361,MO,10,2018,2
1362,MO,10,2019,2
1363,MO,10,2020,2
1364,MO,11,2017,2
1365,MO,12,2018,2
1366,MS,1,2017,2
1367,MS,1,2018,2
1368,MS,2,2015,2
1369,MS,2,2018,2
1370,MS,3,2015,2
1371,MS,3,2016,2
1372,MS,3,2019,2
1373,MS,4,2020,2
1374,MS,5,2019,2
1375,MS,6,2018,2
1376,MS,6,2019,2
1377,MS,7,2019,2
1378,MS,8,2019,2
1379,MS,10,2017,2
1380,MS,10,2021,2
1381,MS,11,2020,2
1382,MS,12,2019,2
1383,MS,12,2021,2
1384,MT,1,2015,2
1385,MT,1,2019,2
1386,MT,5,2017,2
1387,MT,5,2022,2
1388,MT,6,2020,2
1389,MT,11,2017,2
1390,MT,11,2020,2
1391,NC,1,2018,2
1392,NC,2,2018,2
1393,NC,2,2019,2
1394,NC,2,2020,2
1395,NC,3,2017,2
1396,NC,4,2016,2
1397,NC,4,2020,2
1398,NC,4,2021,2
1399,NC,5,2016,2
1400,NC,5,2018,2
1401,NC,5,2019,2
1402,NC,6,2015,2
1403,NC,7,2015,2
1404,NC,7,2021,2
1405,NC,7,2022,2
1406,NC,8,2017,2
1407,NC,8,2018,2
1408,NC,8,2021,2
1409,NC,9,2016,2
1410,NC,9,2018,2
1411,NC,9,2019,2
1412,NC,10,2017,2
1413,NC,10,2021,2
1414,NC,11,2015,2
1415,NC,11,2017,2
1416,NC,12,2015,2
1417,NC,12,2020,2
1418,NC,12,2021,2
1419,ND,7,2018,2
1420,NE,2,2021,2
1421,NE,5,2021,2
1422,NE,6,2021,2
1423,NE,8,2021,2
1424,NE,9,2016,2
1425,NH,6,2017,2
1426,NJ,1,2015,2
1427,NJ,4,2015,2
1428,NJ,4,2016,2
1429,NJ,4,2020,2
1430,NJ,5,2020,2
1431,NJ,6,2015,2
1432,NJ,6,2021,2
1433,NJ,7,2015,2
1434,NJ,7,2016,2
1435,NJ,8,2020,2
1436,NJ,9,2021,2
1437,NJ,11,2015,2
1438,NJ,11,2016,2
1439,NJ,11,2021,2
1440,NJ,12,2021,2
1441,NM,1,2016,2
1442,NM,1,2017,2
1443,NM,1,2018,2
1444,NM,3,2018,2
1445,NM,3,2020,2
1446,NM,4,2021,2
1447,NM,5,2015,2
1448,NM,6,2015,2
1449,NM,6,2019,2
1450,NM,7,2016,2
1451,NM,7,2018,2
1452,NM,7,2022,2
1453,NM,8,2015,2
1454,NM,8,2016,2
1455,NM,8,2017,2
1456,NM,8,2018,2
1457,NM,9,2018,2
1458,NM,10,2018,2
1459,NM,11,2020,2
1460,NM,11,2021,2
1461,NM,12,2017,2
1462,NM,12,2021,2
1463,NV,1,2019,2
1464,NV,2,2022,2
1465,NV,3,2016,2
1466,NV,3,2018,2
1467,NV,3,2019,2
1468,NV,3,2022,2
1469,NV,5,2017,2
1470,NV,5,2020,2
1471,NV,7,2016,2
1472,NV,7,2018,2
1473,NV,8,2016,2
1474,NV,8,2017,2
1475,NV,8,2019,2
1476,NV,8,2020,2
1477,NV,9,2020,2
1478,NV,9,2021,2
1479,NV,10,2016,2
1480,NY,1,2019,2
1481,NY,1,2020,2
1482,NY,1,2022,2
1483,NY,2,2017,2
1484,NY,3,2015,2
1485,NY,3,2016,2
1486,NY,3,2021,2
1487,NY,4,2015,2
1488,NY,4,2021,2
1489,NY,4,2022,2
1490,NY,5,2020,2
1491,NY,5,2021,2
1492,NY,5,2022,2
1493,NY,6,2016,2
1494,NY,6,2019,2
1495,NY,6,2021,2
1496,NY,7,2022,2
1497,NY,8,2019,2
1498,NY,8,2021,2
1499,NY,10,2016,2
1500,NY,10,2017,2
1501,NY,10,2020,2
1502,NY,11,2016,2
1503,NY,11,2017,2
1504,NY,12,2017,2
1505,OH,1,2015,2
1506,OH,1,2017,2
1507,OH,2,2020,2
1508,OH,2,2021,2
1509,OH,3,2017,2
1510,OH,3,2020,2
1511,OH,4,2016,2
1512,OH,4,2018,2
1513,OH,5,2017,2
1514,OH,5,2020,2
1515,OH,7,2018,2
1516,OH,7,2020,2
1517,OH,8,2015,2
1518,OH,8,2019,2
1519,OH,9,2015,2
1520,OH,9,2017,2
1521,OH,9,2019,2
1522,OH,9,2021,2
1523,OH,10,2018,2
1524,OH,11,2015,2
1525,OH,11,2016,2
1526,OH,11,2020,2
1527,OH,12,2019,2
1528,OK,1,2016,2
1529,OK,1,2020,2
1530,OK,1,2021,2
1531,OK,2,2015,2
1532,OK,3,2015,2
1533,OK,3,2017,2
1534,OK,3,2020,2
1535,OK,3,2022,2
1536,OK,4,2017,2
1537,OK,4,2021,2
1538,OK,5,2015,2
1539,OK,5,2016,2
1540,OK,5,2019,2
1541,OK,5,2020,2
1542,OK,5,2021,2
1543,OK,6,2022,2
1544,OK,7,2017,2
1545,OK,7,2018,2
1546,OK,7,2020,2
1547,OK,8,2015,2
1548,OK,9,2017,2
1549,OK,9,2018,2
1550,OK,10,2018,2
1551,OK,11,2015,2
1552,OK,12,2015,2
1553,OK,12,2017,2
1554,OK,12,2018,2
1555,OK,12,2020,2
1556,OR,1,2020,2
1557,OR,1,2022,2
1558,OR,2,2017,2
1559,OR,3,2018,2
1560,OR,3,2020,2
1561,OR,3,2022,2
1562,OR,4,2017,2
1563,OR,4,2019,2
1564,OR,4,2022,2
1565,OR,5,2015,2
1566,OR,5,2020,2
1567,OR,6,2021,2
1568,OR,6,2022,2
1569,OR,7,2017,2
1570,OR,7,2018,2
1571,OR,7,2019,2
1572,OR,7,2021,2
1573,OR,9,2021,2
1574,OR,10,2015,2
1575,OR,10,2018,2
1576,OR,10,2019,2
1577,PA,1,2018,2
1578,PA,1,2022,2
1579,PA,2,2018,2
1580,PA,2,2022,2
1581,PA,3,2019,2
1582,PA,4,2017,2
1583,PA,4,2018,2
1584,PA,4,2020,2
1585,PA,4,2021,2
1586,PA,5,2015,2
1587,PA,5,2018,2
1588,PA,5,2022,2
1589,PA,6,2018,2
1590,PA,7,2020,2
1591,PA,8,2019,2
1592,PA,8,2022,2
1593,PA,9,2016,2
1594,PA,11,2020,2
1595,PA,11,2021,2
1596,PA,12,2020,2
1597,SC,1,2022,2
1598,SC,2,2019,2
1599,SC,2,2021,2
1600,SC,3,2016,2
1601,SC,3,2018,2
1602,SC,3,2019,2
1603,SC,4,2017,2
1604,SC,4,2019,2
1605,SC,5,2016,2
1606,SC,5,2020,2
1607,SC,7,2016,2
1608,SC,7,2020,2
1609,SC,8,2018,2
1610,SC,9,2019,2
1611,SC,9,2021,2
1612,SC,10,2019,2
1613,SC,10,2020,2
1614,SC,11,2016,2
1615,SC,11,2018,2
1616,SC,11,2019,2
1617,SC,12,2021,2
1618,SD,1,2019,2
1619,SD,4,2017,2
1620,SD,7,2022,2
1621,TN,1,2018,2
1622,TN,3,2016,2
1623,TN,3,2020,2
1624,TN,3,2021,2
1625,TN,4,2016,2
1626,TN,4,2020,2
1627,TN,4,2021,2
1628,TN,7,2016,2
1629,TN,8,2017,2
1630,TN,8,2018,2
1631,TN,8,2020,2
1632,TN,9,2015,2
1633,TN,11,2020,2
1634,TN,11,2021,2
1635,TN,12,2016,2
1636,TN,12,2018,2
1637,TX,9,2018,2
1638,TX,9,2022,2
1639,TX,11,2021,2
1640,TX,12,2021,2
1641,UT,2,2020,2
1642,UT,2,2021,2
1643,UT,4,2016,2
1644,UT,5,2018,2
1645,UT,5,2020,2
1646,UT,7,2015,2
1647,UT,8,2015,2
1648,UT,8,2021,2
1649,UT,9,2020,2
1650,UT,12,2019,2
1651,UT,12,2021,2
1652,VA,1,2021,2
1653,VA,2,2016,2
1654,VA,2,2019,2
1655,VA,4,2016,2
1656,VA,5,2015,2
1657,VA,5,2019,2
1658,VA,6,2016,2
1659,VA,6,2021,2
1660,VA,8,2022,2
1661,VA,9,2017,2
1662,VA,11,2020,2
1663,VA,12,2018,2
1664,VT,8,2021,2
1665,WA,1,2020,2
1666,WA,1,2021,2
1667,WA,2,2016,2
1668,WA,2,2017,2
1669,WA,2,2020,2
1670,WA,3,2020,2
1671,WA,4,2017,2
1672,WA,5,2016,2
1673,WA,5,2022,2
1674,WA,6,2016,2
1675,WA,6,2018,2
1676,WA,7,2018,2
1677,WA,7,2020,2
1678,WA,8,2018,2
1679,WA,8,2020,2
1680,WA,9,2016,2
1681,WA,9,2022,2
1682,WA,11,2017,2
1683,WA,11,2021,2
1684,WA,12,2015,2
1685,WA,12,2020,2
1686,WA,12,2021,2
1687,WI,1,2017,2
1688,WI,1,2020,2
1689,WI,2,2017,2
1690,WI,5,2017,2
1691,WI,5,2021,2
1692,WI,6,2017,2
1693,WI,6,2019,2
1694,WI,7,2015,2
1695,WI,8,2018,2
1696,WI,9,2017,2
1697,WI,9,2018,2
1698,WI,9,2019,2
1699,WI,9,2022,2
1700,WI,10,2017,2
1701,WI,10,2018,2
1702,WI,10,2020,2
1703,WI,11,2020,2
1704,WI,12,2019,2
1705,WV,1,2016,2
1706,WV,2,2017,2
1707,WV,3,2015,2
1708,WV,4,2019,2
1709,WV,6,2022,2
1710,WV,8,2016,2
1711,WV,8,2019,2
1712,WV,8,2022,2
1713,WV,9,2015,2
1714,WV,9,2016,2
1715,WV,9,2017,2
1716,WV,9,2021,2
1717,WV,10,2019,2
1718,WV,11,2015,2
1719,WV,11,2016,2
1720,WV,12,2020,2
1721,WY,3,2022,2
1722,WY,6,2016,2
1723,WY,12,2015,2
1724,AK,1,2016,1
1725,AK,2,2015,1
1726,AK,2,2017,1
1727,AK,2,2019,1
1728,AK,2,2020,1
1729,AK,2,2022,1
1730,AK,3,2017,1
1731,AK,3,2022,1
1732,AK,4,2019,1
1733,AK,5,2017,1
1734,AK,5,2021,1
1735,AK,6,2016,1
1736,AK,6,2017,1
1737,AK,6,2018,1
1738,AK,6,2019,1
1739,AK,6,2020,1
1740,AK,6,2021,1
1741,AK,6,2022,1
1742,AK,7,2016,1
1743,AK,7,2018,1
1744,AK,8,2016,1
1745,AK,8,2018,1
1746,AK,8,2019,1
1747,AK,9,2022,1
1748,AK,10,2015,1
1749,AK,10,2017,1
1750,AK,10,2020,1
1751,AK,10,2021,1
1752,AK,11,2016,1
1753,AK,11,2017,1
1754,AK,11,2018,1
1755,AK,12,2019,1
1756,AK,12,2020,1
1757,AL,1,2017,1
1758,AL,1,2018,1
1759,AL,2,2017,1
1760,AL,3,2016,1
1761,AL,4,2018,1
1762,AL,5,2015,1
1763,AL,5,2016,1
1764,AL,5,2019,1
1765,AL,6,2015,1
1766,AL,6,2019,1
1767,AL,6,2022,1
1768,AL,7,2015,1
1769,AL,8,2021,1
1770,AL,9,2016,1
1771,AL,9,2022,1
1772,AL,10,2019,1
1773,AL,10,2021,1
1774,AL,11,2016,1
1775,AL,11,2020,1
1776,AR,1,2016,1
1777,AR,1,2020,1
1778,AR,1,2022,1
1779,AR,2,2017,1
1780,AR,2,2019,1
1781,AR,2,2020,1
1782,AR,2,2021,1
1783,AR,3,2016,1
1784,AR,3,2018,1
1785,AR,3,2019,1
1786,AR,4,2015,1
1787,AR,4,2022,1
1788,AR,5,2015,1
1789,AR,6,2016,1
1790,AR,6,2018,1
1791,AR,7,2015,1
1792,AR,7,2017,1
1793,AR,7,2022,1
1794,AR,8,2020,1
1795,AR,8,2022,1
1796,AR,9,2016,1
1797,AR,9,2018,1
1798,AR,9,2019,1
1799,AR,10,2018,1
1800,AR,11,2018,1
1801,AZ,2,2019,1
1802,AZ,6,2015,1
1803,AZ,6,2019,1
1804,AZ,6,2020,1
1805,AZ,8,2017,1
1806,AZ,8,2019,1
1807,AZ,9,2019,1
1808,AZ,9,2022,1
1809,AZ,10,2015,1
1810,AZ,10,2021,1
1811,AZ,12,2021,1
1812,CA,9,2022,1
1813,CO,1,2017,1
1814,CO,2,2015,1
1815,CO,5,2019,1
1816,CO,5,2022,1
1817,CO,7,2021,1
1818,CO,8,2015,1
1819,CO,8,2022,1
1820,CO,9,2022,1
1821,CO,10,2015,1
1822,CO,10,2019,1
1823,CO,11,2020,1
1824,CT,1,2017,1
1825,CT,1,2021,1
1826,CT,2,2016,1
1827,CT,2,2019,1
1828,CT,2,2021,1
1829,CT,3,2016,1
1830,CT,4,2017,1
1831,CT,4,2019,1
1832,CT,4,2020,1
1833,CT,5,2017,1
1834,CT,6,2016,1
1835,CT,7,2019,1
1836,CT,8,2015,1
1837,CT,8,2017,1
1838,CT,9,2019,1
1839,CT,10,2015,1
1840,CT,12,2017,1
1841,CT,12,2018,1
1842,CT,12,2020,1
1843,DC,1,2021,1
1844,DC,2,2016,1
1845,DC,2,2017,1
1846,DC,3,2015,1
1847,DC,5,2017,1
1848,DC,5,2021,1
1849,DC,6,2016,1
1850,DC,6,2018,1
1851,DC,7,2016,1
1852,DC,7,2022,1
1853,DC,9,2016,1
1854,DC,9,2019,1
1855,DC,9,2020,1
1856,DC,10,2015,1
1857,DC,10,2021,1
1858,DC,12,2016,1
1859,DE,1,2017,1
1860,DE,1,2020,1
1861,DE,1,2021,1
1862,DE,3,2015,1
1863,DE,3,2017,1
1864,DE,3,2021,1
1865,DE,3,2022,1
1866,DE,5,2015,1
1867,DE,6,2016,1
1868,DE,8,2019,1
1869,DE,9,2015,1
1870,DE,11,2019,1
1871,DE,12,2020,1
1872,FL,1,2015,1
1873,FL,1,2019,1
1874,FL,6,2021,1
1875,FL,7,2016,1
1876,GA,3,2016,1
1877,GA,3,2017,1
1878,GA,3,2018,1
1879,GA,6,2015,1
1880,GA,6,2017,1
1881,GA,7,2016,1
1882,GA,8,2016,1
1883,GA,9,2015,1
1884,GA,9,2018,1
1885,GA,11,2018,1
1886,GA,12,2015,1
1887,HI,1,2017,1
1888,HI,1,2019,1
1889,HI,1,2020,1
1890,HI,2,2017,1
1891,HI,3,2019,1
1892,HI,4,2017,1
1893,HI,5,2015,1
1894,HI,7,2016,1
1895,HI,8,2015,1
1896,HI,11,2018,1
1897,HI,11,2019,1
1898,HI,12,2016,1
1899,HI,12,2020,1
1900,IA,1,2018,1
1901,IA,1,2022,1
1902,IA,2,2016,1
1903,IA,3,2019,1
1904,IA,3,2020,1
1905,IA,4,2020,1
1906,IA,6,2015,1
1907,IA,6,2017,1
1908,IA,6,2022,1
1909,IA,7,2017,1
1910,IA,8,2018,1
1911,IA,8,2020,1
1912,IA,8,2021,1
1913,IA,9,2015,1
1914,IA,9,2016,1
1915,IA,9,2018,1
1916,IA,9,2019,1
1917,IA,9,2021,1
1918,IA,10,2015,1
1919,IA,10,2017,1
1920,IA,10,2018,1
1921,IA,12,2016,1
1922,IA,12,2018,1
1923,IA,12,2019,1
1924,IA,12,2021,1
1925,ID,1,2015,1
1926,ID,1,2017,1
1927,ID,2,2015,1
1928,ID,2,2018,1
1929,ID,2,2020,1
1930,ID,2,2022,1
1931,ID,3,2015,1
1932,ID,3,2016,1
1933,ID,3,2017,1
1934,ID,3,2020,1
1935,ID,4,2015,1
1936,ID,4,2016,1
1937,ID,4,2021,1
1938,ID,5,2017,1
1939,ID,6,2016,1
1940,ID,6,2018,1
1941,ID,6,2020,1
1942,ID,6,2022,1
1943,ID,7,2017,1
1944,ID,7,2018,1
1945,ID,8,2015,1
1946,ID,8,2016,1
1947,ID,8,2020,1
1948,ID,9,2016,1
1949,ID,9,2017,1
1950,ID,9,2018,1
1951,ID,11,2015,1
1952,ID,11,2016,1
1953,ID,11,2019,1
1954,ID,11,2021,1
1955,ID,12,2015,1
1956,ID,12,2017,1
1957,IL,1,2015,1
1958,IL,1,2021,1
1959,IL,2,2018,1
1960,IL,2,2020,1
1961,IL,2,2021,1
1962,IL,3,2015,1
1963,IL,3,2017,1
1964,IL,3,2019,1
1965,IL,4,2018,1
1966,IL,4,2019,1
1967,IL,6,2015,1
